"household_id","region","monthly_income"
1,"Urban",17581
2,"Urban",5260
3,"Rural",24417
4,"Rural",22408
5,"Rural",20646
6,"Urban",19483
7,"Rural",11935
8,"Urban",24541
9,"Rural",6938
10,"Rural",30536
11,"Rural",9582
12,"Urban",15644
13,"Rural",4679
14,"Rural",16929
15,"Rural",18014
16,"Urban",15425
17,"Rural",14128
18,"Urban",7559
19,"Rural",13014
20,"Rural",12740
21,"Urban",10752
22,"Urban",4559
23,"Rural",9390
24,"Urban",24244
25,"Urban",15651
26,"Urban",12060
27,"Urban",9840
28,"Urban",17504
29,"Rural",25785
30,"Rural",12777
31,"Urban",4568
32,"Rural",7802
33,"Rural",18199
34,"Rural",6335
35,"Urban",7283
36,"Urban",22049
37,"Urban",8691
38,"Urban",9974
39,"Rural",8199
40,"Rural",8157
41,"Rural",6922
42,"Urban",10599
43,"Rural",8672
44,"Rural",27295
45,"Urban",6320
46,"Urban",14420
47,"Urban",6858
48,"Urban",10345
49,"Rural",19535
50,"Rural",11687
51,"Rural",5941
52,"Urban",9313
53,"Rural",12669
54,"Rural",32085
55,"Urban",18074
56,"Urban",11048
57,"Rural",31414
58,"Rural",18768
59,"Urban",24901
60,"Urban",26776
61,"Rural",16860
62,"Urban",7336
63,"Urban",11913
64,"Urban",22452
65,"Rural",7602
66,"Urban",6681
67,"Rural",16051
68,"Rural",14701
69,"Urban",8985
70,"Urban",14035
71,"Rural",24912
72,"Rural",14235
73,"Rural",9661
74,"Rural",14107
75,"Urban",13305
76,"Urban",14119
77,"Rural",13458
78,"Rural",15993
79,"Rural",21130
80,"Rural",9474
81,"Rural",8674
82,"Urban",23208
83,"Urban",19935
84,"Urban",14451
85,"Urban",11140
86,"Urban",15470
87,"Urban",7270
88,"Rural",14885
89,"Urban",6745
90,"Rural",18090
91,"Rural",19383
92,"Rural",11261
93,"Urban",15733
94,"Urban",10362
95,"Rural",11002
96,"Rural",16405
97,"Rural",30582
98,"Urban",19745
99,"Urban",9121
100,"Rural",12445
